,tad,lambdan,p-value,n,max.lambdan
370,chr12:30980000-31410000,-0.6,0.548506236,10,1.880519015
379,chr12:117150000-117620000,-0.6,0.548506236,10,1.849479317
452,chr13:107850000-108310000,-0.6,0.548506236,10,1.658444121
458,chr13:36880000-37350000,-0.6,0.548506236,10,1.690251222
467,chr13:32440000-32870000,-0.6,0.548506236,10,1.731873725
468,chr13:105420000-105870000,-0.6,0.548506236,10,1.589055834
544,chr14:88380000-88840000,-0.6,0.548506236,10,1.79555843
547,chr14:23560000-24020000,-0.6,0.548506236,10,1.600406467
558,chr14:88950000-89430000,-0.6,0.548506236,10,1.646030462
565,chr14:51750000-52240000,-0.6,0.548506236,10,1.847826581
645,chr15:53070000-53520000,-0.6,0.548506236,10,1.788010946
646,chr15:46860000-47330000,-0.6,0.548506236,10,1.546487848
676,chr16:75200000-75680000,-0.6,0.548506236,10,1.546337427
695,chr16:3080000-3550000,-0.6,0.548506236,10,2.144433119
730,chr16:25280000-25740000,-0.6,0.548506236,10,1.863710622
761,chr17:79020000-79470000,-0.6,0.548506236,10,1.880363653
783,chr17:20330000-20790000,-0.6,0.548506236,10,1.620195691
805,chr17:36990000-37410000,-0.6,0.548506236,10,1.596954124
861,chr18:27440000-27860000,-0.6,0.548506236,10,1.899773621
868,chr18:9050000-9540000,-0.6,0.548506236,10,1.738807561
870,chr18:48620000-49100000,-0.6,0.548506236,10,1.718899286
881,chr18:29740000-30160000,-0.6,0.548506236,10,1.85868231
923,chr19:37790000-38240000,-0.6,0.548506236,10,2.043185579
927,chr19:13380000-13830000,-0.6,0.548506236,10,1.993140966
947,chr19:4230000-4660000,-0.6,0.548506236,10,1.665356851
1060,chr1:207240000-207690000,-0.6,0.548506236,10,1.650199181
1106,chr1:184690000-185130000,-0.6,0.548506236,10,1.777407635
1116,chr1:210030000-210490000,-0.6,0.548506236,10,1.531829324
1142,chr1:29090000-29540000,-0.6,0.548506236,10,1.815226497
1155,chr1:174230000-174700000,-0.6,0.548506236,10,1.683774101
1167,chr1:6070000-6540000,-0.6,0.548506236,10,1.932620545
1170,chr1:247090000-247510000,-0.6,0.548506236,10,2.148643323
1211,chr20:37230000-37680000,-0.6,0.548506236,10,1.840872657
1229,chr20:31440000-31900000,-0.6,0.548506236,10,1.660968105
1240,chr21:30320000-30770000,-0.6,0.548506236,10,1.845360106
1258,chr21:40080000-40510000,-0.6,0.548506236,10,1.871344128
1259,chr21:35280000-35720000,-0.6,0.548506236,10,1.944359849
1274,chr22:17550000-18010000,-0.6,0.548506236,10,1.887828349
1284,chr22:30000000-30480000,-0.6,0.548506236,10,1.622930338
1294,chr22:26250000-26740000,-0.6,0.548506236,10,1.6594733
1303,chr22:40770000-41210000,-0.6,0.548506236,10,1.501736695
1391,chrX:117480000-117950000,-0.6,0.548506236,10,1.926765466
1550,chr2:156220000-156690000,-0.6,0.548506236,10,1.638425225
1567,chr2:191900000-192390000,-0.6,0.548506236,10,1.610059151
1587,chr2:120450000-120930000,-0.6,0.548506236,10,1.995842141
1588,chr2:170310000-170780000,-0.6,0.548506236,10,1.85047254
1593,chr2:169800000-170270000,-0.6,0.548506236,10,1.836228073
1594,chr2:60380000-60810000,-0.6,0.548506236,10,2.11598514
1604,chr2:135210000-135660000,-0.6,0.548506236,10,1.60213877
1607,chr2:205140000-205560000,-0.6,0.548506236,10,1.708231733
1609,chr2:119630000-120060000,-0.6,0.548506236,10,1.703264322
1618,chr2:44700000-45180000,-0.6,0.548506236,10,1.693162038
1715,chr3:111810000-112270000,-0.6,0.548506236,10,1.814127602
1748,chr3:151740000-152170000,-0.6,0.548506236,10,2.066890655
1770,chr3:106370000-106850000,-0.6,0.548506236,10,1.611867968
1782,chr3:64010000-64480000,-0.6,0.548506236,10,1.95319797
1790,chr3:58620000-59100000,-0.6,0.548506236,10,1.863717886
1799,chr3:159020000-159500000,-0.6,0.548506236,10,1.615053518
1806,chr3:72410000-72880000,-0.6,0.548506236,10,1.84208015
1808,chr3:184080000-184520000,-0.6,0.548506236,10,1.84333647
1811,chr3:48230000-48680000,-0.6,0.548506236,10,1.755282894
1834,chr4:83770000-84220000,-0.6,0.548506236,10,1.957608121
1884,chr4:173900000-174370000,-0.6,0.548506236,10,1.687108656
1903,chr4:8130000-8590000,-0.6,0.548506236,10,1.652846856
1913,chr4:112530000-112970000,-0.6,0.548506236,10,1.626787074
1920,chr4:186540000-186960000,-0.6,0.548506236,10,1.656287689
1936,chr4:6630000-7090000,-0.6,0.548506236,10,1.913249071
1939,chr4:120500000-120970000,-0.6,0.548506236,10,1.628645772
1946,chr4:4460000-4920000,-0.6,0.548506236,10,1.721596574
1959,chr4:53880000-54310000,-0.6,0.548506236,10,1.64993014
2012,chr5:138100000-138600000,-0.6,0.548506236,10,1.624850719
2080,chr5:38390000-38810000,-0.6,0.548506236,10,1.545817774
2089,chr5:153350000-153810000,-0.6,0.548506236,10,1.558026288
2097,chr5:78300000-78800000,-0.6,0.548506236,10,1.55151434
2109,chr5:163470000-163910000,-0.6,0.548506236,10,1.951888569
2119,chr5:105740000-106180000,-0.6,0.548506236,10,1.824751436
2125,chr5:160510000-160960000,-0.6,0.548506236,10,1.50455545
2205,chr6:159110000-159560000,-0.6,0.548506236,10,1.553253277
2217,chr6:125620000-126080000,-0.6,0.548506236,10,1.812269082
2226,chr6:83770000-84250000,-0.6,0.548506236,10,1.601640056
2231,chr6:134470000-134950000,-0.6,0.548506236,10,1.879723846
2251,chr6:16300000-16760000,-0.6,0.548506236,10,1.784331535
2252,chr6:117660000-118150000,-0.6,0.548506236,10,1.605604445
2267,chr6:75090000-75550000,-0.6,0.548506236,10,1.52408677
2269,chr6:3270000-3720000,-0.6,0.548506236,10,1.764478413
2278,chr6:92030000-92480000,-0.6,0.548506236,10,1.791773698
2324,chr7:115770000-116250000,-0.6,0.548506236,10,1.692365837
2341,chr7:148200000-148690000,-0.6,0.548506236,10,1.816272644
2350,chr7:130740000-131160000,-0.6,0.548506236,10,1.856319132
2379,chr7:137290000-137710000,-0.6,0.548506236,10,1.808924277
2406,chr7:30170000-30630000,-0.6,0.548506236,10,1.6364639
2407,chr7:37930000-38400000,-0.6,0.548506236,10,1.611083309
2428,chr7:148890000-149330000,-0.6,0.548506236,10,1.6975595
2433,chr7:23810000-24290000,-0.6,0.548506236,10,1.759312395
2435,chr7:63630000-64080000,-0.6,0.548506236,10,1.692188176
2527,chr8:125540000-126000000,-0.6,0.548506236,10,1.845442292
2547,chr8:61560000-62020000,-0.6,0.548506236,10,1.778770734
2554,chr8:9760000-10230000,-0.6,0.548506236,10,1.829608094
2556,chr8:85530000-85980000,-0.6,0.548506236,10,1.889444155
2571,chr8:9220000-9700000,-0.6,0.548506236,10,1.657872156
2584,chr8:135930000-136400000,-0.6,0.548506236,10,1.731214127
2589,chr8:100400000-100870000,-0.6,0.548506236,10,1.601398219
2635,chr9:115980000-116440000,-0.6,0.548506236,10,1.761865552
2637,chr9:139650000-140140000,-0.6,0.548506236,10,1.572951784
2674,chr9:3220000-3670000,-0.6,0.548506236,10,1.667658781
2676,chr9:31810000-32300000,-0.6,0.548506236,10,1.58982552
2678,chr9:101060000-101550000,-0.6,0.548506236,10,1.8757308
2681,chr9:134650000-135110000,-0.6,0.548506236,10,1.681161461
2689,chr9:80390000-80850000,-0.6,0.548506236,10,1.678134274
154,chr11:116610000-117100000,-0.6,0.548506236,10,1.569062713
229,chr11:121530000-122000000,-0.6,0.548506236,10,1.605922196
233,chr11:113160000-113610000,-0.6,0.548506236,10,1.865461645
283,chr12:55080000-55530000,-0.6,0.548506236,10,1.711027199
337,chr12:3980000-4420000,-0.6,0.548506236,10,1.766441696
350,chr12:92540000-92990000,-0.6,0.548506236,10,1.622445033
357,chr12:76450000-76950000,-0.6,0.548506236,10,1.882239816
368,chr12:50350000-50830000,-0.6,0.548506236,10,1.848261435
451,chr13:25130000-25570000,-0.6,0.548506236,10,1.684069442
453,chr13:96150000-96640000,-0.6,0.548506236,10,1.684930618
504,chr14:91310000-91760000,-0.6,0.548506236,10,1.737112095
538,chr14:34290000-34750000,-0.6,0.548506236,10,1.851619423
539,chr14:99940000-100390000,-0.6,0.548506236,10,2.017981111
567,chr14:39980000-40440000,-0.6,0.548506236,10,1.905599666
600,chr15:77390000-77830000,-0.6,0.548506236,10,2.03124076
614,chr15:63900000-64380000,-0.6,0.548506236,10,1.880512345
648,chr15:48630000-49080000,-0.6,0.548506236,10,1.705165084
705,chr16:53050000-53550000,-0.6,0.548506236,10,1.541599003
713,chr16:19080000-19520000,-0.6,0.548506236,10,1.742903248
734,chr16:1350000-1810000,-0.6,0.548506236,10,1.8052311
795,chr17:29710000-30180000,-0.6,0.548506236,10,1.960990253
811,chr17:3570000-4030000,-0.6,0.548506236,10,1.922464073
813,chr17:40690000-41140000,-0.6,0.548506236,10,1.589894345
878,chr18:70440000-70900000,-0.6,0.548506236,10,1.970813586
1075,chr1:226600000-227080000,-0.6,0.548506236,10,1.876092746
1091,chr1:224690000-225120000,-0.6,0.548506236,10,1.659528913
1121,chr1:41490000-41930000,-0.6,0.548506236,10,1.761420674
1141,chr1:6250000-6710000,-0.6,0.548506236,10,1.712368937
1145,chr1:162820000-163290000,-0.6,0.548506236,10,1.722128253
1158,chr1:75230000-75660000,-0.6,0.548506236,10,1.697428616
1209,chr20:45820000-46270000,-0.6,0.548506236,10,1.650194474
1260,chr21:33160000-33640000,-0.6,0.548506236,10,2.153278621
1262,chr21:26250000-26750000,-0.6,0.548506236,10,1.666219866
1273,chr22:32920000-33390000,-0.6,0.548506236,10,1.983788396
1279,chr22:24240000-24660000,-0.6,0.548506236,10,1.793125719
1312,chrX:48450000-48950000,-0.6,0.548506236,10,1.68799775
1367,chrX:84350000-84810000,-0.6,0.548506236,10,1.698923351
1378,chrX:64790000-65220000,-0.6,0.548506236,10,1.810207487
1491,chr2:114260000-114750000,-0.6,0.548506236,10,1.716129468
1532,chr2:85880000-86330000,-0.6,0.548506236,10,1.962407897
1541,chr2:72980000-73440000,-0.6,0.548506236,10,2.130288975
1557,chr2:49920000-50390000,-0.6,0.548506236,10,1.949187524
1558,chr2:114890000-115330000,-0.6,0.548506236,10,1.573250685
1612,chr2:238720000-239190000,-0.6,0.548506236,10,1.975136224
1776,chr3:63320000-63800000,-0.6,0.548506236,10,1.741614263
1795,chr3:189670000-190150000,-0.6,0.548506236,10,1.850057863
1941,chr4:82320000-82780000,-0.6,0.548506236,10,1.716255111
1958,chr4:2010000-2460000,-0.6,0.548506236,10,2.016828399
2025,chr5:125990000-126410000,-0.6,0.548506236,10,1.764737869
2057,chr5:118310000-118780000,-0.6,0.548506236,10,1.879664438
2111,chr5:121850000-122340000,-0.6,0.548506236,10,1.519842912
2245,chr6:20080000-20530000,-0.6,0.548506236,10,1.719314601
2282,chr6:145540000-145960000,-0.6,0.548506236,10,1.74588907
2328,chr7:76260000-76730000,-0.6,0.548506236,10,1.734235575
2346,chr7:154690000-155150000,-0.6,0.548506236,10,1.69299251
2434,chr7:65470000-65940000,-0.6,0.548506236,10,1.629537384
2436,chr7:151000000-151470000,-0.6,0.548506236,10,1.71339024
2438,chr7:26720000-27190000,-0.6,0.548506236,10,1.764119174
2544,chr8:104080000-104530000,-0.6,0.548506236,10,1.581376122
2576,chr8:121460000-121950000,-0.6,0.548506236,10,1.524292643
2652,chr9:71190000-71630000,-0.6,0.548506236,10,1.72293447
2675,chr9:130230000-130690000,-0.6,0.548506236,10,1.751096179
2682,chr9:19040000-19460000,-0.6,0.548506236,10,1.713569415
2688,chr9:37900000-38390000,-0.6,0.548506236,10,1.752254426
180,chr11:68360000-68850000,-0.6,0.548506236,10,1.938478125
1094,chr1:242790000-243230000,-0.6,0.548506236,10,1.596895857
1102,chr1:93290000-93710000,-0.6,0.548506236,10,1.612782074
1938,chr4:37590000-38040000,-0.6,0.548506236,10,1.536304422
2065,chr5:96080000-96510000,-0.6,0.548506236,10,1.619786841
2091,chr5:174940000-175380000,-0.6,0.548506236,10,1.572522038
2539,chr8:137850000-138330000,-0.6,0.548506236,10,1.728243465
754,chr17:61930000-62360000,-0.6,0.548506236,10,1.937673994
1133,chr1:51220000-51660000,-0.6,0.548506236,10,1.953363113
1234,chr20:36190000-36650000,-0.6,0.548506236,10,2.127541529
1931,chr4:173320000-173770000,-0.6,0.548506236,10,1.574820179
1528,chr2:171230000-171720000,-0.590909091,0.554581334,11,1.63175914
2068,chr5:136960000-137480000,-0.590909091,0.554581334,11,1.772064898
2103,chr5:75590000-76090000,-0.590909091,0.554581334,11,1.684922554
806,chr17:67560000-68100000,-0.590909091,0.554581334,11,1.991043935
815,chr17:75520000-76010000,-0.590909091,0.554581334,11,1.927830702
1232,chr20:7360000-7870000,-0.590909091,0.554581334,11,1.677260127
1590,chr2:108930000-109430000,-0.590909091,0.554581334,11,1.85656795
2045,chr5:141030000-141520000,-0.590909091,0.554581334,11,1.683798641
2393,chr7:83600000-84140000,-0.590909091,0.554581334,11,1.920286648
2437,chr7:65990000-66470000,-0.590909091,0.554581334,11,1.757167187
2546,chr8:75270000-75790000,-0.590909091,0.554581334,11,1.787745817
2685,chr9:127630000-128140000,-0.590909091,0.554581334,11,1.921462645
57,chr10:133990000-134480000,-0.590909091,0.554581334,11,2.065361598
188,chr11:11810000-12310000,-0.590909091,0.554581334,11,1.86862827
218,chr11:34930000-35420000,-0.590909091,0.554581334,11,1.960613321
226,chr11:103530000-104040000,-0.590909091,0.554581334,11,1.92646286
293,chr12:98930000-99410000,-0.590909091,0.554581334,11,2.372577824
378,chr12:51790000-52260000,-0.590909091,0.554581334,11,1.794310137
381,chr12:19890000-20390000,-0.590909091,0.554581334,11,1.596087331
383,chr12:127390000-127860000,-0.590909091,0.554581334,11,2.034933678
731,chr16:86090000-86560000,-0.590909091,0.554581334,11,1.640019053
803,chr17:1000000-1540000,-0.590909091,0.554581334,11,1.806420293
918,chr19:14690000-15170000,-0.590909091,0.554581334,11,1.5543093
936,chr19:33080000-33600000,-0.590909091,0.554581334,11,1.836880501
1084,chr1:89440000-89920000,-0.590909091,0.554581334,11,1.691471893
1099,chr1:175330000-175850000,-0.590909091,0.554581334,11,1.804938797
1152,chr1:203830000-204340000,-0.590909091,0.554581334,11,2.033515399
1222,chr20:13290000-13780000,-0.590909091,0.554581334,11,2.02998789
1382,chrX:110210000-110710000,-0.590909091,0.554581334,11,1.62055135
1500,chr2:64240000-64730000,-0.590909091,0.554581334,11,1.80078156
1522,chr2:153030000-153540000,-0.590909091,0.554581334,11,1.716502337
1577,chr2:189390000-189880000,-0.590909091,0.554581334,11,1.569444968
1791,chr3:38560000-39060000,-0.590909091,0.554581334,11,1.953093165
1812,chr3:60880000-61360000,-0.590909091,0.554581334,11,1.67523754
1892,chr4:73350000-73890000,-0.590909091,0.554581334,11,2.01643201
1957,chr4:152040000-152540000,-0.590909091,0.554581334,11,1.640751556
2117,chr5:75020000-75550000,-0.590909091,0.554581334,11,1.901244245
2140,chr6:57570000-58070000,-0.590909091,0.554581334,11,1.690163652
2181,chr6:156870000-157390000,-0.590909091,0.554581334,11,1.841757526
2221,chr6:149340000-149840000,-0.590909091,0.554581334,11,1.914425781
2233,chr6:6030000-6550000,-0.590909091,0.554581334,11,1.724603516
2255,chr6:64020000-64510000,-0.590909091,0.554581334,11,2.135356236
2256,chr6:105310000-105840000,-0.590909091,0.554581334,11,1.734169718
2266,chr6:166640000-167130000,-0.590909091,0.554581334,11,2.204288832
2276,chr6:27870000-28370000,-0.590909091,0.554581334,11,1.874477453
2642,chr9:15190000-15660000,-0.590909091,0.554581334,11,1.934709164
2690,chr9:118350000-118860000,-0.590909091,0.554581334,11,1.612813829
94,chr10:25430000-25910000,-0.590909091,0.554581334,11,1.843713427
99,chr10:74120000-74640000,-0.590909091,0.554581334,11,1.651032258
100,chr10:35360000-35860000,-0.590909091,0.554581334,11,1.792869277
217,chr11:124760000-125280000,-0.590909091,0.554581334,11,1.720770709
225,chr11:66120000-66650000,-0.590909091,0.554581334,11,2.056546424
315,chr12:96410000-96940000,-0.590909091,0.554581334,11,2.094828061
317,chr12:43790000-44300000,-0.590909091,0.554581334,11,1.647298676
546,chr14:31390000-31880000,-0.590909091,0.554581334,11,1.785417614
557,chr14:64250000-64790000,-0.590909091,0.554581334,11,1.846118295
700,chr16:27590000-28090000,-0.590909091,0.554581334,11,1.878113329
701,chr16:31510000-32010000,-0.590909091,0.554581334,11,1.908496111
704,chr16:84510000-85050000,-0.590909091,0.554581334,11,1.645295964
710,chr16:30960000-31460000,-0.590909091,0.554581334,11,1.792554932
787,chr17:58200000-58740000,-0.590909091,0.554581334,11,1.700191993
804,chr17:27920000-28410000,-0.590909091,0.554581334,11,1.785242402
808,chr17:29180000-29700000,-0.590909091,0.554581334,11,1.91331107
818,chr17:15920000-16430000,-0.590909091,0.554581334,11,2.066298898
941,chr19:18550000-19100000,-0.590909091,0.554581334,11,2.024949598
946,chr19:47200000-47750000,-0.590909091,0.554581334,11,1.47300641
1038,chr1:93840000-94340000,-0.590909091,0.554581334,11,1.612875307
1105,chr1:185720000-186240000,-0.590909091,0.554581334,11,1.862484732
1146,chr1:165900000-166440000,-0.590909091,0.554581334,11,2.05388462
1159,chr1:15850000-16380000,-0.590909091,0.554581334,11,2.178221687
1163,chr1:59220000-59750000,-0.590909091,0.554581334,11,1.632736724
1165,chr1:240390000-240870000,-0.590909091,0.554581334,11,1.817090965
1180,chr20:52180000-52690000,-0.590909091,0.554581334,11,2.242165077
1364,chrX:40490000-40990000,-0.590909091,0.554581334,11,1.691212526
1374,chrX:68030000-68530000,-0.590909091,0.554581334,11,1.772317808
1379,chrX:100070000-100580000,-0.590909091,0.554581334,11,1.920402838
1388,chrX:117960000-118480000,-0.590909091,0.554581334,11,1.555568
1390,chrX:15700000-16220000,-0.590909091,0.554581334,11,1.940887807
1444,chr2:86420000-86940000,-0.590909091,0.554581334,11,1.7826387
1481,chr2:11270000-11760000,-0.590909091,0.554581334,11,1.840341262
1537,chr2:42060000-42570000,-0.590909091,0.554581334,11,1.743670444
1549,chr2:174720000-175230000,-0.590909091,0.554581334,11,2.048795722
1559,chr2:176980000-177500000,-0.590909091,0.554581334,11,1.713202597
1569,chr2:183040000-183510000,-0.590909091,0.554581334,11,1.698078847
