"","tad","lambdan","power","n","max.lambdan"
"86","chr10:28920000-29620000","-1.4130832128153975e-15","0.9999999999999989","15","1.7239681505681184"
"87","chr10:61850000-62430000","0.0","1.0","12","1.9638046389999864"
"88","chr10:79800000-80990000","-6.2803698347351e-16","0.9999999999999994","24","1.7472139686653534"
"89","chr10:85160000-85630000","9.42055475210265e-16","0.9999999999999993","10","1.6643724014621992"
"90","chr10:50170000-50730000","-7.850462293418875e-16","0.9999999999999993","12","1.9475867314893356"
"91","chr10:120290000-120720000","6.2803698347351e-16","0.9999999999999996","10","1.7534826948143678"
"92","chr10:107520000-108000000","-7.850462293418875e-16","0.9999999999999993","10","1.8072968089972343"
"93","chr10:122680000-123480000","1.0990647210786425e-15","0.9999999999999991","17","1.7382299013298614"
"94","chr10:25430000-25910000","7.850462293418875e-16","0.9999999999999993","11","1.8437134271252953"
"95","chr10:112830000-113360000","-7.850462293418875e-16","0.9999999999999993","12","1.6782376933849021"
"96","chr10:103890000-104390000","0.0","1.0","11","1.7823919996851896"
"97","chr10:16870000-17320000","3.14018491736755e-16","0.9999999999999998","10","1.6708886884520395"
"98","chr10:71190000-71820000","1.570092458683775e-15","0.9999999999999987","14","1.9832330656447357"
"99","chr10:74120000-74640000","-4.710277376051325e-16","0.9999999999999997","11","1.6510322580400096"
"100","chr10:35360000-35860000","-1.88411095042053e-15","0.9999999999999984","11","1.7928692769348953"
"101","chr10:21780000-22250000","1.4130832128153975e-15","0.9999999999999989","10","1.98391269675261"
"102","chr10:116030000-116570000","1.0990647210786425e-15","0.9999999999999991","12","1.8152745554488203"
"103","chr10:53230000-53730000","3.611212654972683e-15","0.9999999999999971","11","1.6510546066101868"
"104","chr10:44160000-44880000","9.42055475210265e-16","0.9999999999999993","15","1.9187468271825148"
"105","chr10:126710000-127370000","3.2971941632359274e-15","0.9999999999999973","14","1.8127967832896479"
"106","chr10:74990000-75490000","-1.7271017045521525e-15","0.9999999999999987","11","1.6985331046537673"
"107","chr10:13170000-13620000","4.710277376051325e-16","0.9999999999999996","10","1.8825338974317458"
"108","chr10:13640000-14220000","-1.4130832128153975e-15","0.9999999999999989","13","1.9497400806797587"
"109","chr10:12270000-12750000","-1.4130832128153975e-15","0.9999999999999989","10","1.798675140455707"
"110","chr10:61380000-61820000","3.14018491736755e-16","0.9999999999999998","10","1.726153838021117"
"111","chr10:44930000-45370000","1.4130832128153975e-15","0.9999999999999989","10","1.479493350762577"
"112","chr10:98340000-98780000","6.2803698347351e-16","0.9999999999999996","10","1.7448144733877142"
"113","chr10:109140000-109570000","1.570092458683775e-16","0.9999999999999998","10","1.629473185336157"
"114","chr10:15950000-16410000","-9.42055475210265e-16","0.9999999999999992","10","1.7418904872955985"
"115","chr10:76020000-76490000","-4.710277376051325e-16","0.9999999999999997","10","1.6481811844807281"
"116","chr10:8070000-8510000","6.2803698347351e-16","0.9999999999999996","10","1.7608421949340802"
"117","chr11:48180000-50770000","-3.14018491736755e-15","0.9999999999999974","53","2.239038693307183"
"118","chr11:68860000-69470000","2.0411201962889075e-15","0.9999999999999984","13","1.8625712781834558"
"119","chr11:48190000-49610000","2.826166425630795e-15","0.9999999999999978","30","2.083199711688479"
"120","chr11:54800000-55550000","2.198129442157285e-15","0.9999999999999982","15","1.7302873395756164"
"121","chr11:50040000-50750000","3.14018491736755e-16","0.9999999999999998","15","1.7569785086070122"
"122","chr11:96440000-97070000","1.7271017045521525e-15","0.9999999999999987","14","1.8517374746692976"
"123","chr11:46720000-47730000","7.850462293418875e-16","0.9999999999999993","21","2.110695107150546"
"124","chr11:114560000-116580000","2.51214793389404e-15","0.999999999999998","41","2.298148599767454"
"125","chr11:35560000-36540000","2.51214793389404e-15","0.999999999999998","20","2.2048198201214024"
"126","chr11:114990000-116570000","-9.42055475210265e-16","0.9999999999999992","33","2.1016920272697006"
"127","chr11:129710000-130800000","-1.0990647210786425e-15","0.9999999999999991","22","1.8616580910233949"
"128","chr11:126290000-127660000","5.495323605393212e-15","0.9999999999999956","29","1.81919384710078"
"129","chr11:72420000-73000000","-6.2803698347351e-16","0.9999999999999994","12","1.6556628680308743"
"130","chr11:110320000-111370000","1.25607396694702e-15","0.9999999999999989","22","1.91547461120161"
"131","chr11:34530000-35460000","1.570092458683775e-15","0.9999999999999987","20","2.0958680296000556"
"132","chr11:120200000-121480000","-3.454203409104305e-15","0.9999999999999972","26","2.368991765602002"
"133","chr11:13760000-14480000","6.2803698347351e-16","0.9999999999999996","15","1.9702174007761672"
"134","chr11:15290000-16720000","-3.454203409104305e-15","0.9999999999999972","30","1.9723583286081237"
"135","chr11:26300000-27180000","-7.850462293418875e-16","0.9999999999999993","18","1.6710732895874136"
"136","chr11:105930000-107120000","-1.4130832128153975e-15","0.9999999999999989","25","1.7364344595931205"
"137","chr11:26300000-27520000","2.3551386880256623e-15","0.9999999999999982","25","1.8311417811851054"
"138","chr11:19040000-20390000","-4.39625888431457e-15","0.9999999999999964","28","1.8274531739751947"
"139","chr11:55670000-56570000","2.198129442157285e-15","0.9999999999999982","19","1.8892678121980286"
"140","chr11:20670000-22160000","-6.2803698347351e-16","0.9999999999999994","31","1.9303627228241187"
"141","chr11:60530000-61190000","6.2803698347351e-16","0.9999999999999996","14","1.8425634630531962"
"142","chr11:59500000-60520000","2.826166425630795e-15","0.9999999999999978","21","2.305787356060754"
"143","chr11:6800000-7820000","-2.51214793389404e-15","0.999999999999998","21","2.0123223810579005"
"144","chr11:10890000-12310000","-1.0990647210786425e-15","0.9999999999999991","30","1.9490724340271302"
"145","chr11:126190000-127410000","-1.0990647210786425e-15","0.9999999999999991","26","1.9136432669107986"
"146","chr11:44090000-45810000","9.420554752102649e-15","0.9999999999999925","36","2.1890746663778824"
"147","chr11:31360000-32240000","1.570092458683775e-16","0.9999999999999998","18","1.9128664558265533"
"148","chr11:10800000-12010000","-3.925231146709437e-15","0.9999999999999969","25","1.934368225740495"
"149","chr11:111400000-111960000","1.25607396694702e-15","0.9999999999999989","12","1.6751197278343226"
"150","chr11:61480000-62090000","-6.2803698347351e-16","0.9999999999999994","13","1.684875945493757"
"151","chr11:128880000-129660000","-1.570092458683775e-15","0.9999999999999988","17","1.9612935796094668"
"152","chr11:119260000-120030000","-1.25607396694702e-15","0.999999999999999","16","2.192148684977334"
"153","chr11:92660000-93420000","6.2803698347351e-16","0.9999999999999996","16","2.1289125420993202"
"154","chr11:116610000-117100000","-3.14018491736755e-16","0.9999999999999998","10","1.5690627130756518"
"155","chr11:15650000-16710000","-1.570092458683775e-15","0.9999999999999988","22","1.8728745207133093"
"156","chr11:101260000-101900000","1.0990647210786425e-15","0.9999999999999991","13","1.8129374259386373"
"157","chr11:128030000-128720000","1.25607396694702e-15","0.9999999999999989","15","1.9133573720790904"
"158","chr11:84430000-85280000","-9.42055475210265e-16","0.9999999999999992","18","2.0059888847097485"
"159","chr11:109710000-110310000","-1.570092458683775e-15","0.9999999999999988","13","1.7232949998625333"
"160","chr11:70310000-71120000","1.0990647210786425e-15","0.9999999999999991","17","1.848491490445167"
"161","chr11:129730000-130230000","1.4130832128153975e-15","0.9999999999999989","11","1.8596702277681971"
"162","chr11:41520000-42530000","1.25607396694702e-15","0.9999999999999989","21","1.8488084158128664"
"163","chr11:108830000-109660000","2.0411201962889075e-15","0.9999999999999984","18","1.8656933449411652"
"164","chr11:124490000-125300000","-1.25607396694702e-15","0.999999999999999","17","2.046890940210286"
"165","chr11:75110000-76220000","-3.14018491736755e-16","0.9999999999999998","23","2.2976064058767793"
"166","chr11:123630000-124460000","4.710277376051325e-16","0.9999999999999996","18","1.8855145271477607"
"167","chr11:110340000-111120000","-1.88411095042053e-15","0.9999999999999984","17","1.919288617487883"
"168","chr11:10930000-11810000","-3.14018491736755e-16","0.9999999999999998","19","1.842440080644874"
"169","chr11:9780000-10760000","-2.9831756714991722e-15","0.9999999999999977","21","1.7405786138436758"
"170","chr11:75110000-76420000","-1.570092458683775e-15","0.9999999999999988","27","2.4533987599308396"
"171","chr11:131570000-132840000","-1.4130832128153975e-15","0.9999999999999989","26","1.9562003664625922"
"172","chr11:115190000-116140000","-1.25607396694702e-15","0.999999999999999","20","1.8144661416319885"
"173","chr11:87830000-88270000","-3.14018491736755e-16","0.9999999999999998","10","1.7501041103327217"
"174","chr11:81320000-81950000","1.570092458683775e-15","0.9999999999999987","13","1.652793760452545"
"175","chr11:9170000-9770000","2.0411201962889075e-15","0.9999999999999984","13","1.8285994238730778"
"176","chr11:64540000-65330000","1.570092458683775e-16","0.9999999999999998","17","1.8496044152865148"
"177","chr11:71500000-72170000","-1.4130832128153975e-15","0.9999999999999989","14","1.7491919898159056"
"178","chr11:112160000-113150000","4.553268130182947e-15","0.9999999999999964","20","1.7627867296566813"
"179","chr11:86130000-86560000","-2.6691571797624175e-15","0.9999999999999979","10","1.5480191716324587"
"180","chr11:68360000-68850000","-3.14018491736755e-16","0.9999999999999998","10","1.9384781245940466"
"181","chr11:35580000-36280000","4.082240392577815e-15","0.9999999999999967","15","2.2901135032608364"
"182","chr11:121520000-122420000","7.850462293418875e-16","0.9999999999999993","19","1.903435556361956"
"183","chr11:93560000-94660000","5.65233285126159e-15","0.9999999999999956","23","2.1178217094589256"
"184","chr11:22340000-22860000","-1.570092458683775e-15","0.9999999999999988","12","1.917956673810148"
"185","chr11:19130000-19570000","-7.850462293418875e-16","0.9999999999999993","10","1.9787645059616519"
"186","chr11:16760000-17570000","-1.25607396694702e-15","0.999999999999999","17","2.2422080335808245"
"187","chr11:22910000-23470000","-1.88411095042053e-15","0.9999999999999984","12","1.6162429117274533"
"188","chr11:11810000-12310000","3.14018491736755e-16","0.9999999999999998","11","1.8686282696996317"
"189","chr11:99060000-99660000","4.710277376051325e-16","0.9999999999999996","13","1.6294897188927762"
"190","chr11:42710000-43310000","9.42055475210265e-16","0.9999999999999993","13","1.7478560631991829"
"191","chr11:28750000-29370000","2.51214793389404e-15","0.999999999999998","13","1.7189555395389349"
"192","chr11:123630000-124220000","3.14018491736755e-16","0.9999999999999998","13","1.7163710932956733"
"193","chr11:29440000-30100000","-1.570092458683775e-16","0.9999999999999999","14","1.9285959558954437"
"194","chr11:8990000-9540000","1.0990647210786425e-15","0.9999999999999991","12","1.774279567173199"
"195","chr11:107880000-108540000","2.51214793389404e-15","0.999999999999998","14","2.0800438375409716"
"196","chr11:30370000-30950000","-2.0411201962889075e-15","0.9999999999999983","12","1.5377524275374044"
"197","chr11:122940000-123450000","1.7271017045521525e-15","0.9999999999999987","11","1.9847143851007911"
"198","chr11:95530000-96150000","1.88411095042053e-15","0.9999999999999984","13","1.6529640682228774"
"199","chr11:66110000-67000000","-1.88411095042053e-15","0.9999999999999984","18","1.832690759245591"
"200","chr11:12960000-13410000","-1.4130832128153975e-15","0.9999999999999989","10","2.019232787083312"
"201","chr11:33820000-34520000","9.42055475210265e-16","0.9999999999999993","15","1.986708590320088"
"202","chr11:62670000-63200000","1.570092458683775e-15","0.9999999999999987","11","1.782883445009959"
"203","chr11:132940000-133710000","-8.478499276892384e-15","0.9999999999999932","17","2.099944363319342"
"204","chr11:130310000-130760000","5.02429586778808e-15","0.999999999999996","10","1.5925083522968155"
"205","chr11:130840000-131550000","-3.14018491736755e-15","0.9999999999999974","15","1.9665813608790326"
"206","chr11:93570000-94240000","-4.239249638446192e-15","0.9999999999999967","14","1.6268167914578953"
"207","chr11:19060000-19940000","3.925231146709437e-15","0.9999999999999969","18","1.8744391921503307"
"208","chr11:14540000-15240000","6.2803698347351e-16","0.9999999999999996","15","1.8117831812450103"
"209","chr11:94880000-95500000","-3.454203409104305e-15","0.9999999999999972","13","1.7223342185959354"
"210","chr11:13780000-14270000","-9.42055475210265e-16","0.9999999999999992","11","1.619329906897701"
"211","chr11:12340000-12930000","9.42055475210265e-16","0.9999999999999993","13","2.159814188613142"
"212","chr11:27720000-28400000","4.082240392577815e-15","0.9999999999999967","14","2.442128447663685"
"213","chr11:18120000-18790000","1.7271017045521525e-15","0.9999999999999987","14","1.937054977653272"
"214","chr11:126300000-126990000","-1.88411095042053e-15","0.9999999999999984","14","1.6620768590258774"
"215","chr11:83000000-83520000","1.4130832128153975e-15","0.9999999999999989","11","1.6619439013126458"
"216","chr11:65380000-65810000","1.25607396694702e-15","0.9999999999999989","10","1.4553263221415227"
"217","chr11:124760000-125280000","1.88411095042053e-15","0.9999999999999984","11","1.7207707091064113"
"218","chr11:34930000-35420000","-9.42055475210265e-16","0.9999999999999992","11","1.9606133209606036"
"219","chr11:83540000-84090000","2.51214793389404e-15","0.999999999999998","12","1.5215225078846848"
"220","chr11:120370000-120820000","1.7271017045521525e-15","0.9999999999999987","10","1.5640630257391614"
"221","chr11:78350000-78840000","-6.2803698347351e-16","0.9999999999999994","10","1.6214709858320462"
"222","chr11:64540000-65090000","-1.570092458683775e-15","0.9999999999999988","12","1.831551853362496"
"223","chr11:9780000-10370000","-1.7271017045521525e-15","0.9999999999999987","13","1.6617522150183757"
"224","chr11:44110000-44560000","1.570092458683775e-16","0.9999999999999998","10","1.8362366195054454"
"225","chr11:66120000-66650000","-1.25607396694702e-15","0.999999999999999","11","2.0565464239445053"
"226","chr11:103530000-104040000","-1.4130832128153975e-15","0.9999999999999989","11","1.9264628595679785"
"227","chr11:122440000-122920000","1.570092458683775e-16","0.9999999999999998","11","1.85290399939204"
"228","chr11:104450000-105030000","6.2803698347351e-16","0.9999999999999996","12","1.5911717342006053"
"229","chr11:121530000-122000000","-1.0990647210786425e-15","0.9999999999999991","10","1.6059221956914989"
"230","chr11:57090000-57580000","-2.198129442157285e-15","0.9999999999999982","11","1.8646559859761507"
"231","chr11:32320000-32810000","-6.2803698347351e-16","0.9999999999999994","11","1.4721181978750661"
"232","chr11:57600000-58280000","-5.338314359524835e-15","0.9999999999999958","14","1.7892866535680825"
"233","chr11:113160000-113610000","1.4130832128153975e-15","0.9999999999999989","10","1.8654616452777057"
"234","chr11:45850000-46360000","-6.2803698347351e-16","0.9999999999999994","11","1.8192430951202763"
"235","chr11:79390000-79880000","2.51214793389404e-15","0.999999999999998","11","1.85765224637233"
"236","chr11:67770000-68230000","-3.14018491736755e-16","0.9999999999999998","10","1.6886450000115758"
"237","chr11:134140000-134940000","6.2803698347351e-16","0.9999999999999996","17","1.865758465523526"
"238","chr11:115630000-116090000","-1.88411095042053e-15","0.9999999999999984","10","1.8200048666487139"
"239","chr12:60280000-62590000","-7.222425309945365e-15","0.9999999999999942","47","1.9389738390062041"
"240","chr12:86420000-88390000","1.25607396694702e-15","0.9999999999999989","40","1.8746514164524544"
"241","chr12:60940000-62200000","1.88411095042053e-15","0.9999999999999984","26","1.7742848644154718"
"242","chr12:60920000-62420000","2.198129442157285e-15","0.9999999999999982","31","1.7135230669386738"
"243","chr12:33180000-34140000","2.6691571797624175e-15","0.9999999999999978","20","1.913695781580798"
"244","chr12:28200000-29000000","0.0","1.0","16","2.047013260443606"
"245","chr12:104230000-105570000","-1.25607396694702e-15","0.999999999999999","28","2.417723006909521"
"246","chr12:97180000-98850000","0.0","1.0","34","2.191784763504651"
"247","chr12:65160000-66520000","1.7271017045521525e-15","0.9999999999999987","28","1.995954420899482"
"248","chr12:58620000-59590000","9.42055475210265e-16","0.9999999999999993","20","1.8757821766227587"
"249","chr12:131580000-132400000","3.14018491736755e-16","0.9999999999999998","17","1.9597224159264148"
"250","chr12:37850000-38480000","6.2803698347351e-16","0.9999999999999996","13","1.8057410738499302"
"251","chr12:11680000-12900000","-3.14018491736755e-15","0.9999999999999974","25","2.116259118022427"
"252","chr12:29600000-30980000","-2.826166425630795e-15","0.9999999999999978","28","2.561774063230482"
"253","chr12:37850000-38680000","1.570092458683775e-15","0.9999999999999987","17","1.8333833314642551"
"254","chr12:38710000-39670000","-9.42055475210265e-16","0.9999999999999992","20","2.4789505167926285"
"255","chr12:128970000-130490000","-2.198129442157285e-15","0.9999999999999982","31","2.07140961035243"
"256","chr12:13010000-14230000","2.826166425630795e-15","0.9999999999999978","25","2.2969330500930916"
"257","chr12:96960000-98850000","-1.570092458683775e-15","0.9999999999999988","38","2.2338840539681235"
"258","chr12:54970000-56040000","1.0990647210786425e-15","0.9999999999999991","22","1.9071013936499162"
"259","chr12:13410000-14240000","-5.495323605393212e-15","0.9999999999999957","17","2.2916430979597866"
"260","chr12:27880000-29130000","9.42055475210265e-16","0.9999999999999993","26","2.3009830627417487"
"261","chr12:23320000-24980000","1.570092458683775e-15","0.9999999999999987","34","2.062234600830253"
"262","chr12:38710000-39310000","-1.570092458683775e-15","0.9999999999999988","13","2.199444866685059"
"263","chr12:78670000-79770000","-9.42055475210265e-16","0.9999999999999992","23","1.853112781754786"
"264","chr12:31440000-32500000","3.454203409104305e-15","0.9999999999999973","22","2.4108943848459727"
"265","chr12:109600000-110280000","0.0","1.0","14","1.668270817507772"
"266","chr12:91740000-93090000","-1.570092458683775e-15","0.9999999999999988","28","2.14210158393642"
"267","chr12:51800000-53390000","-4.39625888431457e-15","0.9999999999999964","32","2.004795925893584"
"268","chr12:58360000-59590000","1.88411095042053e-15","0.9999999999999984","25","2.082552970064057"
"269","chr12:108060000-108900000","1.570092458683775e-15","0.9999999999999987","17","1.8373875168482408"
"270","chr12:48240000-49060000","4.710277376051325e-16","0.9999999999999996","18","1.9362711394455296"
"271","chr12:97370000-98810000","6.2803698347351e-16","0.9999999999999996","30","2.1490820457212463"
"272","chr12:75870000-76970000","-2.826166425630795e-15","0.9999999999999978","23","2.5618363431350732"
"273","chr12:131300000-132400000","-1.4130832128153975e-15","0.9999999999999989","22","2.0934367628691914"
"274","chr12:78520000-79770000","-3.14018491736755e-16","0.9999999999999998","26","1.9721530253733712"
"275","chr12:3960000-4660000","1.570092458683775e-16","0.9999999999999998","15","1.9734365617784686"
"276","chr12:18280000-19390000","9.42055475210265e-16","0.9999999999999993","23","2.025058843787821"
"277","chr12:46380000-47410000","4.082240392577815e-15","0.9999999999999967","22","2.1075724477181565"
"278","chr12:11670000-12500000","6.2803698347351e-16","0.9999999999999996","17","1.834826254821981"
"279","chr12:118840000-120080000","9.42055475210265e-16","0.9999999999999993","26","1.7762420526750688"
"280","chr12:28200000-28780000","1.25607396694702e-15","0.9999999999999989","12","1.844634712799194"
"281","chr12:110330000-111280000","6.2803698347351e-16","0.9999999999999996","20","2.4385707673042014"
"282","chr12:124260000-125390000","-3.14018491736755e-16","0.9999999999999998","23","1.9337692267068285"
"283","chr12:55080000-55530000","-1.570092458683775e-16","0.9999999999999999","10","1.7110271985368561"
"284","chr12:44330000-45350000","-1.0990647210786425e-15","0.9999999999999991","21","1.7397387911754671"
"285","chr12:1910000-2780000","7.850462293418875e-16","0.9999999999999993","18","2.0491484304998684"
"286","chr12:8650000-9240000","1.570092458683775e-15","0.9999999999999987","12","1.8867908169214975"
"287","chr12:10910000-11640000","2.9831756714991722e-15","0.9999999999999976","15","1.7748343307340186"
"288","chr12:5230000-6040000","1.570092458683775e-15","0.9999999999999987","17","1.899308675912096"
"289","chr12:77420000-78350000","-5.02429586778808e-15","0.999999999999996","19","1.9487166466000623"
"290","chr12:92160000-93080000","3.14018491736755e-16","0.9999999999999998","19","1.7573907663515909"
"291","chr12:106750000-107340000","-4.710277376051325e-16","0.9999999999999997","12","1.7537944514409007"
"292","chr12:88450000-89390000","2.51214793389404e-15","0.999999999999998","19","1.8327343855009897"
"293","chr12:98930000-99410000","2.198129442157285e-15","0.9999999999999982","11","2.3725778235013575"
"294","chr12:112120000-112910000","3.14018491736755e-16","0.9999999999999998","17","1.717142786948779"
"295","chr12:94510000-95410000","-2.0411201962889075e-15","0.9999999999999983","19","1.8531467638766854"
"296","chr12:80780000-81550000","-1.570092458683775e-15","0.9999999999999988","16","1.9061279475634532"
