,tad,lambdan,p-value,n,max.lambdan
171,chr14:50050000-51320000,-0.642007691,0.520868189,14,2.274120323
172,chr14:45870000-46810000,-0.27459717,0.783625741,11,1.912002237
173,chr14:58920000-59940000,-0.696006752,0.486424601,11,1.935909658
174,chr14:63830000-64970000,1.08028337,0.280016013,12,2.093231554
175,chr14:96000000-96950000,1.175877415,0.239643865,10,2.034293764
176,chr14:76140000-77140000,0.264269776,0.791572048,11,1.873974358
177,chr14:102830000-103860000,0.386013823,0.699486431,11,1.601134734
178,chr14:79400000-80420000,0.567065935,0.570669386,11,1.66506138
179,chr14:78300000-79310000,-0.153281252,0.878176485,11,1.740704987
180,chr14:31930000-32980000,-0.539420538,0.589596713,11,1.97215096
181,chr14:53870000-54820000,-0.09995594,0.920379305,11,1.692227121
182,chr14:73490000-74520000,-0.19339851,0.846646882,12,1.890127428
183,chr14:35030000-36280000,0.439984986,0.659947982,13,1.729397522
184,chr14:68290000-69310000,-0.67016317,0.502753779,12,1.860194449
185,chr14:89490000-90380000,0.464046196,0.642614648,10,1.985251997
186,chr15:41720000-43840000,-0.332940219,0.739179409,22,1.95073634
187,chr15:74640000-76140000,0.298861158,0.765045985,16,1.914904971
188,chr15:76240000-77890000,0.975855537,0.329136058,17,2.288855986
189,chr15:66860000-68530000,-0.01036309,0.991731598,18,1.924057964
190,chr15:66860000-68140000,0.095652885,0.923796261,14,1.855616876
191,chr15:67160000-68520000,-1.058154981,0.289984792,15,2.173616764
192,chr15:27120000-28280000,0.947968415,0.343145534,12,1.965788699
193,chr15:79580000-80530000,-0.451914741,0.651330404,11,1.84726614
194,chr15:58480000-59970000,0.998698381,0.317940825,16,1.88340241
195,chr15:72980000-74200000,1.227547718,0.219616799,13,2.17506122
196,chr15:46000000-47450000,0.074556247,0.940567787,15,2.008040705
197,chr15:68600000-69730000,0.378478017,0.705075521,12,1.830492095
198,chr15:39000000-40050000,0.166238561,0.867969214,11,1.770870339
199,chr15:93610000-94650000,0.141340324,0.887601096,11,1.567691422
200,chr15:52160000-53040000,0.916071852,0.35962921,10,1.975103568
201,chr15:47470000-48380000,-0.406550246,0.684338346,10,1.842616762
202,chr15:49510000-50450000,0.778533383,0.436254634,10,1.893347111
203,chr15:53070000-54040000,-0.844609519,0.398328892,11,1.704600277
204,chr15:65690000-66820000,-0.050193301,0.95996835,13,1.954421493
205,chr15:78190000-79070000,0.137810292,0.89039035,10,1.623334392
206,chr15:64450000-65440000,0.263702128,0.792009456,11,1.810607762
207,chr15:71110000-72020000,-0.227662023,0.819908998,10,1.782477795
208,chr15:42420000-43640000,0.16467246,0.869201795,13,2.047923209
209,chr15:64440000-65310000,0.194139705,0.846066493,10,1.745664448
210,chr15:56760000-57610000,0.237547422,0.812232135,10,1.725575876
211,chr15:54240000-55450000,1.152064951,0.249294384,13,2.305015989
212,chr15:69760000-70840000,-0.037685927,0.969938097,12,1.80676214
213,chr15:95790000-96890000,-0.618599377,0.536180313,12,2.100391264
214,chr16:58810000-62200000,-0.007346249,0.994138594,34,1.996221943
215,chr16:63380000-65230000,0.148397648,0.882028956,20,1.922395408
216,chr16:72130000-74150000,-0.429376843,0.667649003,21,2.280693691
217,chr16:19570000-20670000,-0.872072667,0.383168736,12,2.086259282
218,chr16:47180000-48210000,-0.23216723,0.816408129,12,1.841324932
219,chr16:5490000-6710000,0.828138426,0.40759211,14,1.687231413
220,chr16:53560000-55450000,0.467599883,0.640070749,20,1.866156598
221,chr16:72130000-74300000,-0.389911797,0.69660177,22,2.285371883
222,chr16:3190000-4460000,-0.614133821,0.539126901,14,2.015136829
223,chr16:74480000-75680000,-0.334612897,0.737917115,13,1.907230762
224,chr16:88650000-90150000,-2.076312924,0.037865019,16,2.530141031
225,chr16:82270000-83570000,0.161799369,0.87146385,14,1.686533692
226,chr16:23660000-24520000,0.279886715,0.77956442,10,1.562015875
227,chr16:25280000-27120000,0.678171375,0.49766304,20,1.933070567
228,chr16:12410000-13980000,0.805538548,0.420508971,16,2.207758118
229,chr16:6750000-8440000,0.542556476,0.587435213,18,1.847013587
230,chr16:9250000-10290000,0.351321827,0.725346922,11,1.623687542
231,chr16:65270000-66160000,0.627857934,0.53009701,10,1.902771165
232,chr16:74700000-75680000,-0.221463229,0.824731765,10,1.812268023
233,chr16:75810000-77210000,-0.737095873,0.461064048,15,2.176029841
234,chr16:46500000-48670000,-0.354568372,0.722912974,22,1.892935821
235,chr16:62220000-63290000,0.159053513,0.873626713,11,1.758202512
236,chr16:48690000-49970000,0.120057759,0.904437394,14,1.975101654
237,chr16:34170000-35280000,0.116125156,0.907553352,12,1.821153855
238,chr16:57590000-58790000,0.025808191,0.979410329,13,1.998572407
239,chr16:50940000-52020000,-0.65119979,0.514917526,12,1.963613718
240,chr16:75820000-76760000,-0.315361472,0.752487216,10,1.916574773
241,chr16:46510000-48240000,-0.20419489,0.838201204,18,1.898245009
242,chr16:5710000-6700000,0.314279639,0.753308661,10,1.637432355
243,chr16:11040000-11950000,-0.373637727,0.708673862,10,2.068625048
244,chr16:77240000-78110000,-0.298513541,0.765311243,10,1.562915706
245,chr16:740000-1980000,-1.469076963,0.141811915,13,2.175048948
246,chr16:2020000-3000000,-0.60743345,0.543563296,10,1.82370515
247,chr16:56450000-57570000,-0.502602238,0.615243955,12,2.021135246
248,chr16:83920000-85040000,0.06983624,0.944324002,12,1.891544575
249,chr16:86080000-87330000,-0.621801099,0.534072663,14,1.973695197
250,chr16:68400000-69330000,0.454130166,0.649735142,10,1.840881773
251,chr16:12980000-13960000,-0.624062623,0.53258646,11,2.001406583
252,chr16:72130000-73240000,0.608904999,0.54258741,12,2.02823968
253,chr16:78480000-79640000,0.384233532,0.700805368,13,1.707671331
254,chr16:72140000-73110000,0.621610153,0.534198243,11,1.934007208
255,chr16:79650000-80510000,-0.77986768,0.435468764,10,2.025838251
256,chr17:60700000-61690000,0.03165148,0.974749989,10,1.606923276
257,chr17:9730000-10650000,0.399437596,0.689570797,10,1.817813281
258,chr17:19890000-20890000,0.519133727,0.60366749,11,1.670507203
259,chr17:60430000-61690000,0.587060408,0.557163136,13,2.088584022
260,chr17:25310000-26660000,-0.439025998,0.660642699,14,2.003861773
261,chr17:68630000-70550000,-0.136518278,0.891411576,20,1.93248126
262,chr17:78050000-78990000,-0.246404022,0.805369493,10,1.628791819
263,chr17:5400000-6900000,-0.607506739,0.543514672,15,2.085599541
264,chr17:40020000-41390000,-0.604087862,0.545785229,14,2.089871959
265,chr17:74740000-76070000,0.81969398,0.412390583,14,2.134642624
266,chr17:38770000-39820000,-0.72328043,0.469507613,12,1.840386389
267,chr17:3750000-4840000,-0.269955988,0.787194114,12,1.819849513
268,chr17:57280000-58140000,1.751600632,0.079842504,10,2.276938667
269,chr17:8250000-9480000,0.946899079,0.343690207,13,2.014255824
270,chr17:64190000-65050000,0.130824151,0.895914418,10,1.809634864
271,chr17:16780000-17990000,-0.692421387,0.488672739,13,1.825758591
272,chr17:67550000-68590000,0.572468464,0.567004645,11,1.66237801
273,chr17:53880000-54840000,0.809885075,0.41800623,11,2.075121889
274,chr17:10800000-11840000,-0.260018886,0.794849206,11,1.789581954
275,chr17:27900000-29070000,-0.214842286,0.829890283,12,1.787881297
276,chr17:12060000-12930000,0.246322235,0.805432799,10,1.990756078
277,chr17:5460000-6330000,-0.693354356,0.488087199,10,1.566742099
278,chr17:63220000-64160000,-1.320615175,0.186629711,10,1.967774169
279,chr18:68270000-70250000,0.410992128,0.681078307,21,1.896813666
280,chr18:64870000-66430000,0.576112389,0.564539218,17,1.740459057
281,chr18:32800000-34260000,0.007634848,0.993908332,15,1.788687736
282,chr18:32570000-34400000,0.675630684,0.499275155,19,1.913789404
283,chr18:70340000-71600000,0.210160173,0.833542663,13,1.795710544
284,chr18:57120000-58310000,-0.173858289,0.861976834,13,1.790735039
285,chr18:32790000-34410000,-0.187169609,0.851527653,18,1.795248804
286,chr18:20350000-21730000,0.014299428,0.988591096,15,2.006166753
287,chr18:2780000-3680000,0.381984115,0.702473147,10,1.689132684
288,chr18:6960000-8440000,-0.49685126,0.619293944,16,1.954308931
289,chr18:59840000-61120000,1.328582382,0.183985788,14,2.227137538
290,chr18:39620000-41040000,0.983350729,0.325434851,15,2.216430866
291,chr18:22080000-23470000,0.209536122,0.83402974,15,1.787904691
292,chr18:8580000-9780000,1.783419221,0.074518087,13,2.408048027
293,chr18:75770000-76740000,0.327623558,0.743196307,11,1.676831718
294,chr18:55850000-56820000,-0.419166226,0.675094653,11,1.83179107
295,chr18:53020000-54250000,0.293614036,0.769052849,13,1.839518367
296,chr18:47020000-47980000,0.517418019,0.604864384,10,1.979702698
297,chr18:31390000-32390000,0.308974346,0.757341042,11,1.796426334
298,chr18:28560000-29720000,-0.253711297,0.799718605,13,1.861349054
299,chr18:18510000-20310000,1.453144237,0.146183711,19,2.391559358
300,chr18:43690000-44540000,0.604913945,0.545236177,10,1.990439049
301,chr18:18530000-19530000,-0.126749876,0.899138369,11,1.834230393
302,chr18:54380000-55220000,0.159102548,0.87358808,10,1.542424599
303,chr18:4070000-5060000,-0.120205328,0.904320498,11,1.698419995
304,chr18:77110000-78010000,0.310930503,0.755853455,10,1.863375059
305,chr19:52280000-54160000,1.041234252,0.297766843,20,2.355835505
306,chr19:8740000-9920000,1.15327556,0.248797298,13,2.062547847
307,chr19:33080000-34650000,0.779521527,0.435672562,17,1.91289588
308,chr19:13230000-14630000,-0.871812511,0.383310668,15,2.2235601
309,chr19:15130000-16330000,-0.875035487,0.381554597,13,1.911742353
310,chr19:14660000-16330000,0.115072315,0.908387804,18,1.84867365
311,chr19:14650000-16540000,-0.17161208,0.86374251,20,1.961402708
312,chr19:36790000-38330000,1.162649379,0.244971788,17,2.236187565
313,chr19:15140000-16140000,-0.866914366,0.385988932,11,1.935654943
314,chr19:14810000-16140000,-0.457550806,0.647275193,14,1.635168884
315,chr19:13060000-14620000,-0.675439042,0.499396868,17,2.228956967
316,chr19:45390000-46210000,-0.8650373,0.387018316,10,2.005407621
317,chr19:5970000-6920000,-0.103505758,0.91756158,11,1.529937497
318,chr19:29960000-31150000,0.340316964,0.733617843,13,2.042535433
319,chr19:35530000-36590000,-0.83920677,0.401353289,11,2.027517572
320,chr19:18540000-19460000,-0.860645702,0.389433207,10,2.022346741
321,chr19:31200000-32740000,-0.136866462,0.891136349,16,1.783496996
322,chr19:50660000-51610000,-0.070387953,0.943884879,11,1.758654861
323,chr19:11710000-12780000,0.584293321,0.559022985,11,1.855792776
324,chr19:49130000-50360000,0.485580286,0.627264777,13,1.630355588
325,chr19:52340000-53470000,0.341932356,0.732401799,12,1.863450887
326,chr19:57740000-59100000,0.758332746,0.448251808,14,2.170299243
327,chr19:1870000-2830000,0.286146643,0.774765808,11,1.76469817
328,chr19:33680000-34630000,0.175742916,0.860495918,11,1.811493176
329,chr1:71560000-72530000,0.455180303,0.64897953,11,1.814719244
330,chr1:208270000-209450000,0.309304773,0.7570897,13,1.848497046
331,chr1:216910000-218360000,0.49565147,0.620140332,15,1.959697447
332,chr1:14370000-15420000,-0.067552655,0.946141745,12,1.944400419
333,chr1:17420000-19190000,-1.590509383,0.111720032,18,2.332762269
334,chr1:68990000-70220000,-0.32382351,0.746071656,14,1.750499393
335,chr1:149840000-151240000,-0.122075348,0.902839345,15,2.124459954
336,chr1:95990000-97150000,0.769690567,0.441483467,13,2.165763822
337,chr1:210010000-211420000,0.682511825,0.494915368,15,2.020067656
338,chr1:165560000-166540000,0.133110378,0.894106088,11,1.637584164
339,chr1:210240000-211420000,0.158289823,0.874228427,13,1.808317432
340,chr1:163350000-165040000,0.191536656,0.848105164,18,1.837901255
341,chr1:171550000-172530000,1.212325577,0.225387777,11,2.02798786
342,chr1:160050000-161130000,-0.138241324,0.890049697,12,1.670789692
343,chr1:87580000-89060000,0.675849239,0.499136369,16,2.124194038
344,chr1:178260000-179600000,-0.239099679,0.81102829,14,1.796815414
345,chr1:89360000-90470000,0.368085063,0.712809808,12,1.727083167
346,chr1:8010000-8930000,0.38814277,0.697910382,10,1.770367709
347,chr1:172650000-173940000,-0.306116599,0.75951587,14,1.819644753
348,chr1:172680000-174040000,-0.150190915,0.880613993,15,1.919713028
349,chr1:178270000-179810000,0.267073598,0.789412495,17,1.89029375
350,chr1:106520000-107720000,0.062021712,0.950545542,13,1.65776852
351,chr1:221610000-222620000,0.734274685,0.462781343,11,1.976008908
352,chr1:231900000-233400000,0.206742911,0.836210643,15,1.80425893
353,chr1:230750000-231760000,0.070867498,0.943503211,11,1.693318591
354,chr1:49390000-50790000,0.117581004,0.906399657,15,1.604211726
355,chr1:57290000-58920000,0.081114476,0.935350914,18,2.092555534
356,chr1:57290000-58790000,-0.316516062,0.751610835,16,1.993749776
357,chr1:155150000-156300000,0.509648065,0.610298044,12,1.973874163
358,chr1:236770000-237760000,0.902823278,0.366619695,11,2.017143071
359,chr1:208170000-209720000,0.281022385,0.778693231,17,1.964559915
360,chr1:175000000-176210000,0.569884662,0.568755928,13,2.208955613
361,chr1:176860000-177940000,-0.044574372,0.964446571,12,1.883910564
362,chr1:228780000-229730000,-0.307167556,0.758715839,11,1.740053901
363,chr1:94400000-95530000,0.439667052,0.660178269,12,1.809435503
364,chr1:41710000-42650000,-0.245936749,0.805731195,10,1.82326558
365,chr1:227630000-228740000,0.514546707,0.606869814,12,1.971749718
366,chr1:10550000-11860000,-0.381565326,0.702783808,14,1.857465966
367,chr1:218430000-219980000,-0.055567728,0.955686174,16,2.07606874
368,chr1:168300000-169360000,0.337224756,0.735947477,11,1.744297494
369,chr1:245250000-246650000,0.394793556,0.692995251,15,1.929480702
370,chr1:100210000-101350000,0.895525414,0.370506287,12,2.229336996
371,chr1:55750000-57180000,-2.771221937,0.005584635,15,2.750302824
372,chr1:115660000-116560000,-0.482916366,0.62915512,10,1.609139056
373,chr1:85760000-86780000,0.395305641,0.692617337,11,1.977394096
374,chr1:217000000-217970000,-0.55701573,0.577516682,10,1.929664932
375,chr1:50820000-51760000,0.63204285,0.527358878,10,1.87671456
376,chr1:6740000-7810000,0.595568303,0.551463657,12,1.701349744
377,chr1:228780000-229630000,-0.573826245,0.566085387,10,1.714656085
378,chr1:155160000-156040000,1.453593755,0.146058969,10,2.210200097
379,chr1:34090000-35230000,1.462470144,0.14361242,13,2.215458524
380,chr1:101980000-102930000,-0.181705082,0.855814177,11,1.754027078
381,chr1:90530000-91660000,1.1754283,0.239823407,12,2.223485144
382,chr1:61390000-62360000,-0.033145877,0.973558259,11,1.776895733
383,chr1:97420000-98520000,0.203708168,0.838581559,12,1.715607746
384,chr1:169860000-170910000,-0.989966218,0.322190631,12,2.097248366
385,chr1:213410000-214330000,-0.320761885,0.748390845,10,1.737726591
386,chr1:17800000-19170000,-0.498701917,0.617989394,14,1.892359052
387,chr1:54300000-55340000,-0.361609502,0.717643863,11,1.725005336
388,chr1:115490000-116330000,-0.843120706,0.39916094,10,1.992877021
389,chr1:74270000-75200000,-0.052346025,0.958252981,10,1.641678748
390,chr1:99210000-100160000,0.067989273,0.945794174,10,1.638152172
391,chr1:76590000-77590000,0.070659312,0.943668904,11,1.815249122
392,chr1:15850000-16820000,0.030848427,0.97539042,11,1.722641636
393,chr1:84360000-85240000,0.411126779,0.680979575,10,1.855131875
394,chr1:111400000-112320000,0.635903164,0.52483954,10,1.717625258
395,chr1:158130000-159070000,-0.26226852,0.79311443,10,1.68084438
396,chr1:87590000-88460000,-0.405629712,0.685014694,10,1.849327914
397,chr1:214860000-215720000,-0.411495386,0.680709324,10,1.8518352
398,chr1:32550000-33590000,-0.137747634,0.890439871,11,1.773426005
399,chr1:52500000-53660000,0.292601023,0.769827132,12,1.722522831
400,chr1:243500000-244480000,0.498951976,0.617813216,10,2.047422984
401,chr1:59170000-60250000,-1.288179653,0.197683433,12,2.070828166
402,chr1:118620000-119580000,0.737379126,0.460891826,10,1.915335227
403,chr1:35310000-36270000,1.232029531,0.217938053,10,2.220284274
404,chr1:43650000-44520000,1.008510666,0.31320937,10,2.082327503
405,chr1:36960000-37900000,0.345960606,0.72937232,10,1.794366087
